exam,exam_url,q_number,question,option_a,option_b,option_c,option_d,correct_answer,num_correct_answers,area,theme,difficulty_1_10,explanation
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,19,Which was the last successful foreign invasion of England that took place in 1066?,The Viking invasion,The Anglo-Saxon Conquest,The Roman invasion,The Norman Conquest,The Norman Conquest,1,History,Norman Conquest & the Middle Ages,4,The Norman Conquest was the last successful foreign invasion of England in 1066.
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,20,Where are the Crown Jewels kept?,At the House of Commons,At the Tower of London,At Buckingham Palace,At Windsor Castle,At the Tower of London,1,Geography,Landmarks & famous places,4,The Crown Jewels are kept at the Tower of London .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,21,Which sport can be traced back to the 15th century in Scotland?,Golf,Tennis,Football,Rugby,Golf,1,Sport,Sport & sporting events,5,The modern game of golf can be traced back to 15th century Scotland.
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,22,Who was the first person in England to print books using a printing press?,William Shakespeare,John Barbour,Geoffrey Chaucer,William Caxton,William Caxton,1,History,Norman Conquest & the Middle Ages,7,William Caxton was the first person in England to print books using a printing press.
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,23,"Which court deals with minor criminal cases in England, Wales and Northern Ireland?",High Court,Justice of the Peace Court,Magistrates’ Court,Crown Court,Magistrates’ Court,1,Law & Justice,The legal system & courts,6,"In England, Wales and Northern Ireland, most minor criminal cases are dealt with in a Magistrates’ Court . In Scotland, minor criminal offences go to a Justice of the Peace Court."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,24,What did the Scottish John Logie Baird develop?,Television,Radar,Personal computer,Radio,Television,1,History,Industrial Revolution & invention,6,The television was developed by Scotsman John Logie Baird in the 1920s.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,1,Which of the following is a fundamental principle of British life?,Communism,Intolerance,Individual liberty,Inequity,Individual liberty,1,Values & Citizenship,British values & principles,3,Individual liberty is the correct answer.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,2,Wales has its own established church.,True,False,,,False,1,Culture & Society,Religion & patron saints,7,False . There is no established Church in Wales or Northern Ireland.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,3,How is New Year’s Eve called in Scotland?,Vaisakhi,Hannukah,Diwali,Hogmanay,Hogmanay,1,Culture & Society,"Festivals, holidays & traditions",6,"In Scotland, the 31st of December (New Year’s Eve) is called Hogmanay ."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,4,Why did Henry VIII establish the church of England?,"Because the Pope didn’t let him divorce his first wife, Catherine of Aragon",Because the Pope didn’t let him marry Catherine Howard,Because the Pope wanted England to be a Catholic country,"Because the Pope didn’t let him divorce his wife, Anne of Cleves","Because the Pope didn’t let him divorce his first wife, Catherine of Aragon",1,History,Tudors & the Reformation,5,"To divorce his first wife , Henry needed the approval of the Pope. When the Pope refused, Henry established the church of England."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,5,What is the name of the long war that English kings fought with France in the middle ages?,The Crimean War,The First World War,The Hundred Years War,The Boer War,The Hundred Years War,1,History,Norman Conquest & the Middle Ages,6,"English kings fought a long war with France, called the Hundred Years War (even though it actually lasted 116 years)."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,6,Who was supported by clansmen from the Scottish highlands and raised and army in 1745?,Bonnie Prince Charlie,Robert Burns,Oliver Cromwell,Kenneth MacAlpin,Bonnie Prince Charlie,1,History,"Stuarts, Civil War & Restoration",7,"In 1745 there was another attempt to put a Stuart king back on the throne in place of George I’s son, George II. Charles Edward Stuart (Bonnie Prince Charlie) , the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised and army."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,7,"If you think someone is trying to persuade you to join an extremist or terrorist activity, who should you contact?",The Home Office,Your local police force,Your local MP,Your family,Your local police force,1,Law & Justice,"Police, crime & punishment",4,"If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify your local police force ."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,8,It is compulsory for 16 and 17-year-olds to join the National Citizen Service programme.,True,,False,,False,1,Values & Citizenship,Rights & responsibilities of citizens,6,"False . The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project. Therefore, it is optional ."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,9,What is the name of the tour guides that tell visitors stories about the Tower of London’s history?,Knights,Chartists,Suffragettes,Beefeaters,Beefeaters,1,Geography,Landmarks & famous places,6,"Tours are given at the Tower of London by the Yeoman Warders, also known as Beefeaters , who tell visitors about the building’s history."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,10,"Which two countries developed the Concorde, the world’s only supersonic commercial airliner?",Italy,Britain,Germany,France,Britain | France,2,History,Industrial Revolution & invention,5,"Britain and France developed the world’s only supersonic commercial airliner, Concorde."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,11,Where is Snowdonia located?,Scotland,Wales,England,Northern Ireland,Wales,1,Geography,Landmarks & famous places,5,Snowdonia is in Wales .
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,12,Who wrote Sherlock Holmes?,Evelyn Waugh,Sir Kingsley Amis,Graham Greene,Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,1,Culture & Society,Literature & writers,5,Sir Arthur Conan Doyle is the author of Sherlock Holmes.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,13,Which country was invaded by Germany in 1939?,Austria,Italy,Russia,Poland,Poland,1,History,First & Second World Wars,5,Germany invaded Poland in 1939.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,14,Who is the patron Saint of Wales?,St David,St George,St Patrick,St Andrew,St David,1,Culture & Society,Religion & patron saints,5,The patron Saint of Wales is St David .
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,15,Lake District is the largest national park of England.,,True,False,,True,1,Geography,Landmarks & famous places,6,This statement is true .
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,16,What is the name of the area in London where famous theatres are located?,Soho,Theatreland,Westminster,Hyde Park,Theatreland,1,Culture & Society,"Music, art & the performing arts",6,"London’s west end, also known as ‘Theatreland’ , is particularly well known for its theatres."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,17,Which two of the following are key roles of school governors?,Monitoring student’s behaviour,Monitoring and evaluating school performance,Setting the strategic direction of the school,Giving awards to the best students of the school,Monitoring and evaluating school performance | Setting the strategic direction of the school,2,Culture & Society,"Money, work, tax & public services",6,"Governors and school boards have an important part to play in raising school standards. They have three key roles: setting the strategic direction of the school , ensuring accountability and monitoring and evaluating school performance ."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,18,What led the American colonies to want their independence from Britain?,The British government wanted to control their borders,They were running out of resources,The British government wanted to tax them,There were not enough jobs for the local people,The British government wanted to tax them,1,History,"Empire, exploration, slavery & abolition",5,The British government wanted to tax the colonies.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,19,When did the Black Death take place?,The Golden Age,The Stone Age,The Middle Ages,The Iron Age,The Middle Ages,1,History,Norman Conquest & the Middle Ages,4,In 1348 (Middle Ages) the Black Death came to Britain.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,20,"Who was the leader of the suffragettes, the group that campaigned for women’s rights to vote?",Queen Victoria,Oliver Cromwell,Florence Nightingale,Emmeline Pankhurst,Emmeline Pankhurst,1,History,Suffrage & women's rights (Suffragettes),6,Emmeline Pankhurst was the leader of the suffragettes.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,21,Cardiff is the capital city of which country?,Scotland,Northern Ireland,Ireland,Wales,Wales,1,Geography,"Nations, capitals & geography of the UK",3,The capital city of Wales is Cardiff.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,22,During the Great Depression in the 1930s which industry was badly affected?,Housing construction,Shipbuilding,Automobile,Aviation,Shipbuilding,1,History,20th-century & post-war Britain,7,During the ‘Great Depression’ in the 1930s the traditional heavy industries such as shipbuilding were badly affected.
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,23,Who was the first man in the world to run 1 mile in under 4 minutes?,Sir Chris Hoy,Sir Roger Bannister,David Weir,Mo Farah,Sir Roger Bannister,1,Sport,Sport & sporting events,4,"Sir Roger Bannister was the first man in the world to run a mile in under four minutes, in 1954."
3,https://lifeintheuktestweb.co.uk/british-citizenship-test-3/,24,"Which festival celebrates the end of Ramadan, when Muslims have fasted for a month?",Hannukah,Vaisakhi,Eid ul Adha,Eid al-Fitr,Eid al-Fitr,1,Culture & Society,"Festivals, holidays & traditions",5,"Eid al-Fitr celebrates the end of Ramadan, when Muslims have fasted for a month."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,1,What was the last battle between Great Britain and France?,The Battle of Trafalgar,The Battle of Waterloo,The Battle of Hastings,Battle of Agincourt,The Battle of Waterloo,1,History,"Empire, exploration, slavery & abolition",6,"In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo ."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,2,Which flower is associated with Wales?,Daffodil,Rose,Shamrock,Thistle,Daffodil,1,Culture & Society,"Festivals, holidays & traditions",4,The flower associated with Wales is the daffodil .
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,3,"During the reign of Charles II parts of London were destroyed, what was the cause of this destruction?",A war,A flood,A fire,An earthquake,A fire,1,History,"Stuarts, Civil War & Restoration",4,"During Charles II’s reign, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,4,How often are general elections held in the UK?,Every 3 years,Every 4 years,Every 5 years,Every 10 years,Every 5 years,1,Government & Politics,Elections & voting,5,"MPs are elected at a General Election, which is held at least every five years ."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,5,"Scotland has its own banknotes, which are valid everywhere in the UK.",True,,False,,True,1,Culture & Society,"Money, work, tax & public services",4,This statement is true .
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,6,"What charity works to preserve important buildings, coastline and countryside in the UK?",Shelter,Age UK,Crisis,The National Trust,The National Trust,1,Culture & Society,"Food, leisure & everyday life",4,"The National Trust is a charity that works to preserve important buildings, coastline and countryside in the UK."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,7,"Great Britain refers only to England, Wales and Scotland.",True,False,,,True,1,Geography,"Nations, capitals & geography of the UK",6,This statement is true .
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,8,Who was the tribal leader who fought against the Romans?,Cleopatra,Claudia,Boudicca,St Augustine,Boudicca,1,History,"Ancient, Roman & early Britain",5,"One of the tribal leaders who fought against the Romans was Boudicca , the queen of the Iceni in what is now eastern England."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,9,Who was voted the greatest Briton of all time in 2002?,Isaac Newton,Winston Churchill,Alexander Fleming,Mo Farat,Winston Churchill,1,Culture & Society,Notable Britons & achievements,4,"Winston Churchill remains a much-admired figure to this day, and in 2002 was voted the greatest Briton of all time by the public."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,10,Which two houses form the UK Parliament?,The House of Lords,House of Members,House of Commons,House of Fraser,The House of Lords | House of Commons,2,Government & Politics,Parliament & how government works,4,The UK Parliament is formed of the House of Commons and the House of Lords .
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,11,When did women get the right to vote at the same age as men?,1918,1928,1938,1948,1928,1,History,Suffrage & women's rights (Suffragettes),8,"In 1928 , women were given the right to vote at the age of 21, the same as men."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,12,Who is the head of the Church of England?,The Prime Minister,The Archbishop of Canterbury,The Pope,The monarch,The monarch,1,Culture & Society,Religion & patron saints,5,The monarch is the head of the Church of England.
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,13,What sort of event is the Grand National?,Rugby,Golf,Horse Racing,Tennis,Horse Racing,1,Sport,Sport & sporting events,3,The Grand National is a horse racing event.
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,14,What type of literature are the Canterbury Tales?,Poems,Novels,Jokes,Fables,Poems,1,Culture & Society,Literature & writers,6,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. This collection of poems is called The Canterbury Tales.
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,15,When is Christmas Day?,24th of December,25th of December,26th of December,27th of December,25th of December,1,Culture & Society,"Festivals, holidays & traditions",1,Christmas Day is celebrated on the 25th of December .
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,16,Who supported King Charles I during the Civil War?,Roundheads,Suffragettes,Quakers,Cavaliers,Cavaliers,1,History,"Stuarts, Civil War & Restoration",6,During the civil war between the king and Parliament the country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads).
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,17,What battle is commemorated in the Bayeux Tapestry?,The Battle of Waterloo,The Battle of Trafalgar,The Battle of Hastings,The Battle of Britain,The Battle of Hastings,1,History,Norman Conquest & the Middle Ages,5,"The Battle of Hastings is commemorated in a great piece of embroidery, known as the Bayeux tapestry."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,18,"Where was Anne Boleyn, the wife of Henry VIII, executed?",Houses of the Parliament,Stonehenge,Tower of London,Whitehall,Tower of London,1,History,Tudors & the Reformation,5,Anne Boleyn was unpopular in the country and was accused of taking lovers. She was executed at the Tower of London .
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,19,Racial crime and smoking in public places are examples of:,Civil offences,Criminal offences,,,Criminal offences,1,Law & Justice,The legal system & courts,6,Racial crime and smoking in public places are examples of criminal offences.
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,20,What type of character was played by Charlie Chaplin?,A superhero,A tramp,A scientific genius,A bandit,A tramp,1,Culture & Society,"Film, TV & media",5,Sir Charles (Charlie) Chaplin became famous in silent movies for his tramp character and was one of many British actors to make a career in Hollywood.
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,21,You have to be at least 21 years old to stand as MP.,True,False,,,False,1,Government & Politics,Elections & voting,7,"This statement is false . Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties. These are the Conservative Party, the Labour Party, the Liberal Democrats, or one of the parties representing Scottish, Welsh or Northern Irish interests."
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,22,Who developed the radar?,John Logie Baird,Sir Frank Whittle,Sir Christopher Cockrell,Sir Robert Watson-Watt,Sir Robert Watson-Watt,1,Culture & Society,Notable Britons & achievements,8,Sir Robert Watson-Watt developed the radar.
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,23,Where is the official home of the Prime Minister?,18 Oxford Street,Buckingham Palace,Windsor Castle,10 Downing Street,10 Downing Street,1,Government & Politics,Prime Ministers & political leaders,4,The official home of the Prime Minister is 10 Downing Street .
4,https://lifeintheuktestweb.co.uk/british-citizenship-test-4/,24,"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?",Television,Internet,Newspapers,Radio,Television | Radio,2,Government & Politics,Elections & voting,7,"By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,1,When does Easter take place?,November or December,January or February,March or April,May or June,March or April,1,Culture & Society,"Festivals, holidays & traditions",3,Easter takes place in March or April .
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,2,Which of the following is not a valid UK coin?,1p,5p,25p,£1,25p,1,Culture & Society,"Money, work, tax & public services",4,There are no 25p coins in the UK currency.
